name,address_line1,address_line2,city,state,zip,phone,Latitude,Longitude,web_address,recognition_status,patient_type,delivery_mode
Phoenix Indian Medical Center - Diabetes Prevention Program,4212 North 16 St.,None,Phoenix ,AZ,85016,(602) 263-1200  Ext: 1502 ,33.49695,-112.049421,Unavailable,Full,Members Other ,In-Person
St. Vincent de Paul Family Wellness Program,420 W. Watkins Rd.,None,Phoenix ,AZ,85002-3600,(602) 850-6740,33.426864,-112.079181,http://stvincentdepaul.net,Preliminary,Public ,In-Person
UNLIMITED POTENTIAL,3146 E. WIER Ave.,None,Phoenix ,AZ,85040,(602) 305-4742,33.4038087,-112.0145683,Unavailable,Pending,Public Employees Members ,In-Person
Sun Health Center for Health & Wellbeing,14710 W Grand Ave.,None,Surprise ,AZ,85374,(623) 471-9335,41.931296200000006,-87.9197959,Unavailable,Pending,Public Employees Members Other ,Combination
Sun Health Center for Health & Wellbeing,14719 W Grand Ave.,None,Surprise ,AZ,85374,(623) 471-9355,33.6576744,-112.37685230000001,Unavailable,Pending,Public Employees Members ,OnLine
Sun Health Center for Health & Wellbeing,14719 W Grand Ave.,None,Surprise ,AZ,85374,(623) 471-9355,33.6576744,-112.37685230000001,Unavailable,Pending,Public Employees Members ,Distance Learning
Sun Health Center for Health & Wellbeing,14719 W Grand Ave.,None,Surprise ,AZ,85374,(623) 471-9355,33.6576744,-112.37685230000001,http://sunhealthwellbeing.org/diabetes-prevention/,Full,Public ,In-Person
Banner - University Medical Center South,"3950 S. Country Club Rd., Suite 140",None,Tucson ,AZ,85714,(520) 874-6077,32.1759497,-110.92789850000001,Unavailable,Full,Public ,In-Person
SinfoniaRx,"100 N Stone Ave., Ste 109",None,Tucson ,AZ,85701,(844) 326-3043,32.2231013,-110.9712902,https://sinfoniarx.com/preventdiabetes,Pending,Public Employees ,Combination
Tucson Medical Center Pre-Diabetes Program,5301 East Grant Rd.,None,Tucson ,AZ,85712,(520) 324-3526,32.2524018,-110.8782029,Unavailable,Full,Public ,In-Person
University of Arizona Cooperative Extension,1140 E South Campus Dr. PO Box 210036,None,Tucson ,AZ,85721-0036,(520) 621-1584,32.2318851,-110.9501094,https://extension.arizona.edu/national-diabetes-prevention-program,Full,Public ,In-Person
University of Arizona Cooperative Extension,1140 E South Campus Dr.,None,Tucson ,AZ,85721-0036,(520) 621-1584,32.2309358,-110.9534624,http://www.preventdiabetesAZ.org,Pending,Public ,Distance Learning
Yuma County Public Health Services District,2200 W. 28th St.,None,Yuma ,AZ,85364,(928) 317-4580,32.6778484,-114.64688410000001,Unavailable,Pending,Public Employees Other ,In-Person
Chapa-De Indian Health,11670 Atwood Rd.,None,Auburn ,CA,95603,(530) 889-3765,38.9344973,-121.09884699999999,Unavailable,Preliminary,Members ,In-Person
Dignity Health Medical Group,"3838 San Dimas St., Bldg A St.e 200",None,Bakersfield ,CA,93301,(661) 654-0200,35.3940755,-119.0071815,Unavailable,Pending,Public Employees Members ,In-Person
Kern Health Systems,9700 Stockdale Hwy.,None,Bakersfield ,CA,93311-3617,(800) 391-2000,35.3553673,-119.1104592,Unavailable,Pending,Members ,In-Person
Memorial Hospital Diabetes Clinic,420 34th St.,None,Bakersfield ,CA,93301,(661) 327-4647  Ext: 4326 ,35.391703799999995,-119.00689299999999,Unavailable,Pending,Public Employees ,In-Person
Omni Family Health,"4900 California Ave., Suite 400B",None,Bakersfield ,CA,93309,(661) 459-1900  Ext: 1958 ,35.365343599999996,-119.05626609999999,Unavailable,Pending,Public ,In-Person
University of California - Berkeley,University Health Services,2222 Bancroft Way,Berkeley ,CA,94720-4300,(510) 643-4646,36.1249934,-97.0739292,Unavailable,Pending,Employees ,In-Person
YMCA of the East Bay,2111 Martin Luther King Jr. Way,None,Berkeley ,CA,94704,(925) 687-8900,37.869950200000005,-122.27261090000002,http://ymca-cba.org/,Preliminary,Public ,In-Person
E.V.A. Health,457 S. Citrus Ave.,None,Covina ,CA,91723,(866) 382-4325,34.081401,-117.8902395,Unavailable,Pending,Public ,In-Person
"UC Davis Staff, Faculty Health, and Well-Being Pgm","One Shields Ave., Cowell Hall",None,Davis ,CA,95616,(530) 752-6800,37.7758685,-122.4508304,Unavailable,Preliminary,Employees ,In-Person
Central Health Plan of California,1540 Bridgegate Dr.,None,Diamond Bar,CA,91765,(626) 388-2390  Ext: 3828 ,33.9939968,-117.83782830000001,Unavailable,Preliminary,Members ,In-Person
City of Hope MetFit,1500 E. Duarte Rd.,None,Duarte ,CA,91010,(626) 218-0440  Ext: 2 ,34.1308315,-117.97225890000001,Unavailable,Pending,Public Employees Members ,In-Person
Sharp Rees-Stealy Center for Health Management,1380 El Cajon Blvd.,Suite 100,El Cajon,CA,92020,(619) 590-3300,32.7802815,-116.9844604,http://www.sharp.com/wellness,Full,Members ,In-Person
El Centro Regional Medical Center,1415 Ross Ave.,None,El Centro,CA,92243,(760) 482-5000,32.7804333,-115.56857099999999,Unavailable,Preliminary,Public Other ,In-Person
Kaiser Permanente - South Sacramento Medical Center,9201 Big Horn Blvd.,None,Elk Grove,CA,95758,(916) 478-5145,38.4253515,-121.406472,Unavailable,Full,Members ,In-Person
Fountain Valley Regional Hospital & Medical Center,11250 Warner Ave.,None,Fountain Valley,CA,92708,(714) 966-8145,33.7131551,-117.93236019999999,Unavailable,Pending,Public Employees ,In-Person
California Health Collaborative,1680 W Shaw Ave.,None,Fresno ,CA,93711,(559) 244-4512,36.80871399999999,-119.8238149,http://www.healthcollaborative.org,Preliminary,Public ,In-Person
Braden Diabetes Center,"1100 South Eliseo, Suite 2",None,Greenbrae ,CA,94904,(415) 925-7370,37.9439177,-122.5345548,Unavailable,Full,Public ,In-Person
UC San Diego Health,9500 Gilman Dr.,MC 0853,La Jolla,CA,92093-0853,(858) 246-5569  Ext: 65569 ,32.8802438,-117.24265049999998,Unavailable,Pending,Public Employees Members ,In-Person
"University of California, San Diego","10280 N. Torrey Pines Rd., Suite 265A",None,La Jolla,CA,92093-0922,(858) 534-7831,32.8905271,-117.24305090000001,Unavailable,Pending,Employees ,In-Person
Lake County Tribal Health Consortium,"925 Bevins Ct.,",None,Lakeport ,CA,95453,(707) 263-8382  Ext: 1601 ,39.037121899999995,-122.92173400000001,http://www.lcthc.com/,Full,Public Members ,In-Person
Livingston Community Health Center,1140 Main St.,None,Livingston ,CA,95334,(209) 394-7913  Ext: 1384 ,39.182407299999994,-84.27220909999998,Unavailable,Preliminary,Public ,In-Person
Loma Linda University Health Diabetes Treatment Center,"11285 mountain View Ave., Suite 40",None,Loma Linda,CA,92354,(909) 558-3022,34.049122499999996,-117.24184699999999,Unavailable,Full,Members ,In-Person
AltaMed Health Services,2040 Camfield Ave.,None,Los Angeles,CA,90040,(877) 462-2582,34.0079865,-118.15519350000001,http://www.altamed.org/,Full,Public ,In-Person
B.A. Head Together,3816 Virginia Rd.,None,Los Angeles,CA,90008,(323) 833-2197,34.016804,-118.33914440000001,Unavailable,Full,Public ,In-Person
Black Women for Wellness,"4340 11th Ave., 2nd Floor",None,Los Angeles,CA,90008,(323) 290-5955,34.005339500000005,-118.3292778,http://www.bwwla.org,Full,Other ,In-Person
Canary Health,1539 Sawtelle Blvd. Suite 10,None,Los Angeles,CA,90025,(310) 444-0636  Ext: 111 ,34.04729879999999,-118.44946340000001,http://www.canaryhealth.com,Full,Employees Members Other ,OnLine
Diabetes Prevention Education by Food Prescription,5042 Wilshire Blvd. #40811,None,Los Angeles,CA,90036,(240) 776-2352,34.0617884,-118.33924760000001,Unavailable,Pending,Public Employees Members Other ,OnLine
"inHealth Medical Services, Inc.",1801 Century Park East,24th Floor,Los Angeles,CA,90067,(888) 219-5299,34.062152600000005,-118.41571699999999,Unavailable,Full,Public ,Distance Learning
KLOUD CLINICAL,5043 WHITTIER Blvd.,None,Los Angeles,CA,90022-3116,(323) 526-8972,34.0214002,-118.16079270000002,Unavailable,Pending,Other ,In-Person
MOOR OUT OF LIFE,"600 W Manchester Ave., #4",None,Los Angeles,CA,90044,(323) 657-0003,33.9597773,-118.2845915,Unavailable,Pending,Public ,In-Person
"New Familia Health Support Services, LLC","2716 North Broadway, Suite 203",None,Los Angeles,CA,90031,(323) 917-1700  Ext: 1 ,34.0734425,-118.2137183,Unavailable,Pending,Public Other ,In-Person
"Real Appeal, Inc.",10866 Wilshire Blvd.,Suite 400,Los Angeles,CA,90024,(844) 344-7325,34.0588444,-118.44213130000001,https://realappeal.com/effect/member,Full,Members ,Distance Learning
Seeds of Hope,840 Echo Park Ave.,None,Los Angeles,CA,90026,(213) 482-2040,34.073440999999995,-118.25909180000001,Unavailable,Pending,Public ,In-Person
To Help Everyone Health and Wellness Center,3834 S. Western Ave.,None,Los Angeles,CA,90062,(323) 730-1920  Ext: 3062 ,34.016179,-118.30858899999998,Unavailable,Pending,Public ,In-Person
UCLA Campus-Wide DPP,2131 John Wooden Center,None,Los Angeles,CA,90095-1612,(310) 794-7765,34.0713489,-118.4452164,Unavailable,Full,Other ,In-Person
UCLA Housing & Hospitality Services,360 De Neve Dr.,Sproul Hall Suite 182,Los Angeles,CA,90095,(310) 825-1016,34.072624299999994,-118.4520699,Unavailable,Preliminary,Employees ,In-Person
Watts Healthcare Corporation,10300 Compton Blvd.,None,Los Angeles,CA,90002,(323) 564-4331  Ext: 3404 ,33.942530600000005,-118.2452615,Unavailable,Pending,Public Members ,In-Person
Madera County Department of Public Health,14215 Rd. 28,None,Madera ,CA,93638,(559) 675-7893,36.9547479,-120.0370466,Unavailable,Preliminary,Employees ,In-Person
Shasta Cascade Health Centers,116 Minnesota Ave.,None,Mcloud ,CA,96057,(530) 964-2389,45.1185471,-95.04197950000001,Unavailable,Pending,Public ,In-Person
First Mile Care,3000 Sand Hill Rd.,"Building 3, Suite 240",Menlo Park,CA,94025,(650) 546-7145,37.4238079,-122.22107040000002,Unavailable,Preliminary,Public ,In-Person
Merced County Department of Public Health,260 East 15th St.,None,Merced ,CA,95341,(209) 381-1042,37.2936551,-120.4711357,Unavailable,Pending,Employees ,In-Person
UC Merced,5200 N Lake,None,Merced ,CA,95343,(209) 201-9457,43.1119389,-87.89273089999998,Unavailable,Pending,Employees ,In-Person
Yes Health Inc.,"35 Miller Ave., Suite #273",None,Mill Valley,CA,94941,(415) 302-3651,37.90522360000001,-122.54696499999999,http://www.yeshealth.com,Full,Public Employees Members ,OnLine
Tanner Care,825 S Myrtle Ave.,None,Monrovia ,CA,91016,(626) 471-9710,34.1429302,-118.0013541,Unavailable,Full,Public ,In-Person
Community Health Innovations,"10 Ragsdale Dr., Suite 200",None,Monterey ,CA,93940,(831) 644-7490,36.57774179999999,-121.8237886,Unavailable,Preliminary,Public Members ,In-Person
Monterey Bay Center for Integrated Health,"1340 Munras Ave., Suite 210",None,Monterey ,CA,93940,(831) 324-0416,36.58509829999999,-121.90103959999999,Unavailable,Pending,Public ,In-Person
Family Service Association,"21250 Box Springs Rd., Suite 212",None,Moreno Valley,CA,92557,(951) 686-1096,33.94703629999999,-117.29169840000002,Unavailable,Full,Members ,In-Person
Quinn Community Outreach Corporation,25400 ALESSANDRO Blvd.,STE 101,Moreno Valley,CA,92553-4319,(951) 570-0043,33.917718,-117.2197128,Unavailable,Pending,Public Employees ,In-Person
Digbi Health,800 El Camino Real West Suite 180,None,Mountain View,CA,94040,(650) 823-6797,37.3865645,-122.0841761,https://digbihealth.com/products/preventt2,Pending,Public Employees Members Other ,Distance Learning
El Camino Health South Asian Heart Center,2480 Grant Rd.,"El Camino Health, Willow Pavilion, Suite 206",Mountain View,CA,94040,(650) 940-7242,27.9252702,-80.56792,https://southasianheartcenter.org/stop-d,Pending,Public Employees Other ,Combination
Lark,2570 W El Camino Real,#100,Mountain View,CA,94040,(855) 500-5275,37.4012174,-122.1112342,http://www.lark.com,Full,Public ,OnLine
El Camino Health South Asian Heart Center,"Willow Pavilion, Suite 206",2480 Grant Rd.,"Mountain View,",CA,94040,(650) 940-7242,37.3700938,-122.0800919,https://southasianheartcenter.org/program/register,Pending,Public Employees Other ,Distance Learning
"OPERATION SAMAHAN, INC.",1428 Highland Ave.,None,National City,CA,91950-7403,(844) 200-2426,34.0970199,-118.3383453,Unavailable,Full,Members ,In-Person
Mary and Dick Allen Diabetes Center,520 Superior Ave. Suite 150,None,Newport Beach,CA,92663,(949) 764-8065,33.630537100000005,-117.9284243,Unavailable,Full,Public ,Combination
"Mission City Community Network, Inc.",8527 Sepulveda Blvd.,None,North Hills,CA,91343-5305,(818) 895-3100,34.225505,-118.46810190000001,Unavailable,Pending,Public Employees Members ,In-Person
Providence Health and Services San Fernando Valley,6801 Coldwater Canyon Ave.,Suite 1A,North Hollywood,CA,91605-5163,(818) 493-6944,34.1944709,-118.41494109999998,Unavailable,Preliminary,Public ,In-Person
Marilyn Magaram Center,18111 Nordhoff St.,None,Northridge ,CA,91330-8308,(818) 677-3102,34.2399163,-118.526252,http://www.csun.edu/marilyn-magaram-center/prevent-type-2-diabetes-preventt2-program,Pending,Public ,In-Person
Northridge Hospital Medical Center,18300 Roscoe Blvd.,None,Northridge ,CA,91325,(818) 718-5951,34.2205406,-118.53386440000001,Unavailable,Pending,Public Members ,In-Person
Vision of Health,"17130 Devonshire St., St.e. 104-A",None,Northridge ,CA,91325,(747) 300-2191,34.2573368,-118.50636010000001,http://avisionofhealth.org/newleaf.htm,Pending,Public Employees Members ,Distance Learning
Vision of Health,"17130 Devonshire St, Ste. 104-A","Northridge, CA 91325",Northridge,CA,91325,(818) 723-6111,34.2573368,-118.50636010000001,http://www.avisionofhealth.org,Full,Public ,In-Person
"US Naval Hospital, Okinawa Japan",US Naval Hospital,Camp Foster,"Okinawa, Japan",CA,96362,(098) 971-7555,48.3361583,-122.68211240000001,http://www.med.navy.mil/sites/nhoki/Pages/default.aspx,Full,Employees ,In-Person
Aktiva Nutrition & Prevention Hub,427 N Euclid Ave.,None,Ontario ,CA,91762-3427,(909) 295-2019,41.894012100000005,-87.79379770000001,Unavailable,Pending,Public Other ,In-Person
UC Irvine Health,101 The City Dr.,"Bldg 22A, 3rd Fl, Rm 3104, Rt 162",Orange ,CA,92868,(714) 456-8781,33.787279999999996,-117.88828400000001,Unavailable,Pending,Employees ,In-Person
Ventura County Public Health,2220 E. Gonzales Rd.,Suite 202,Oxnard ,CA,93036,(805) 981-6657,34.2180489,-119.14787759999999,Unavailable,Pending,Public Employees Members ,In-Person
Stanford Healthcare,211 Quarry Rd.,"Suite 4014, MC 5984",Palo Alto,CA,94304,(650) 724-1375,37.441514899999994,-122.1686795,Unavailable,Pending,Employees Members ,Combination
Pre-Diabetes Professional Training Center,14500 Roscoe Blvd.,4th Floor,Panorama City,CA,91402,(844) 786-7362,34.2212146,-118.44902990000001,http://pdptcenter.org,Full,Public ,In-Person
Kaiser Permanente Southern California,74 N Pasadena Ave.,"Parsons West, Center for Healthy Living",Pasadena ,CA,91103,(626) 381-7000,34.1471144,-118.15307759999999,Unavailable,Full,Public ,Combination
Inter Valley Health Plan,300 S. Park Ave.,None,Pomona ,CA,91766,(909) 623-6333,32.218493,-110.95656399999999,http://www.ivhp.com,Full,Members ,In-Person
Eisenhower Health,39000 Bob Hope Dr. Probst 100-B,None,Rancho Mirage,CA,92270,(760) 773-1403  Ext: 1403 ,33.76319960000001,-116.4041418,Unavailable,Full,Public ,In-Person
Shasta County YMCA,1155 N. Ct. St.,None,Redding ,CA,96001,(530) 246-9622,40.58747520000001,-122.39761999999999,http://www.sfymca.org/programs-events/programs/diabetes-prevention-program,Pending,Public Employees Members ,In-Person
Loma Linda Veterans' Affairs Medical Center,26001 Redlands Blvd.,None,Redlands ,CA,92373,(909) 825-7084  Ext: 1869 ,34.06096779999999,-117.23614740000002,Unavailable,Preliminary,Other ,In-Person
Inspiring Communities,3220 Blume Dr,Suite 154,Richmond ,CA,94806,(510) 439-6844,37.9825503,-122.3217794,Unavailable,Full,Public ,In-Person
Inspiring Communities,3220 Blume Dr. Suite 154,None,Richmond ,CA,94806,(510) 439-6844,37.9825503,-122.3217794,Unavailable,Pending,Public Employees ,OnLine
Riverside Community Health Foundation,4275 Lemon St.,None,Riverside ,CA,92501,(951) 788-3471,33.97631079999999,-117.3754645,Unavailable,Full,Public ,In-Person
University of California Riverside,900 University Ave.,Wellness Programs - University Village Ste. 208,Riverside ,CA,92521,(951) 827-1488,37.453160499999996,-122.1537378,Unavailable,Preliminary,Employees ,In-Person
Clinica de Salud del Valle de Salinas,440 Airport Blvd.,None,Salinas ,CA,93905,(831) 757-8689,36.6655032,-121.61694469999999,Unavailable,Preliminary,Public ,In-Person
The Central Coast Young Men's Christian Association,500 Lincoln Ave.,None,Salinas ,CA,93901,(831) 757-4633  Ext: 17 ,40.5728308,-74.096808,http://www.centralcoastymca.org/programs/diabetes-prevention-program/,Full,Public ,In-Person
Blessing Community Health Center,3972 N Waterman Ave.,Suite 104,San Bernardino,CA,92404,(909) 433-9700,34.164188,-117.27893859999999,Unavailable,Pending,Public ,In-Person
WJ MEDICAL SERVICES INC,103 EAST HIGHLAND Ave.,None,San Bernardino,CA,92404,(909) 677-2965  Ext: 304 ,34.1356794,-117.2848334,Unavailable,Pending,Public Employees Members ,Combination
ADVANCED HOMECARE,4320 View Ridge,STE C,San Diego,CA,92130,(800) 758-7571,32.820956699999996,-117.1247748,Unavailable,Pending,Public Employees ,In-Person
Family Health Centers of San Diego,1809 National Ave.,None,San Diego,CA,92113,(619) 515-2526,32.7014779,-117.14674209999998,Unavailable,Pending,Public ,In-Person
Multicultural Health Foundation,292 Euclid Ave.,Suite 210,San Diego,CA,92114,(619) 266-3665,32.707138500000006,-117.0861196,Unavailable,Full,Public Employees Members Other ,In-Person
"San Diego Family Care, Linda Vista Health Care Center",6973 Linda Vista Rd.,None,San Diego,CA,92111,(858) 279-0925  Ext: 2975 ,32.7871501,-117.16962620000001,Unavailable,Full,Public Other ,In-Person
Scripps Diabetes Care and Prevention,"10140  Campus Point Dr., Suite 200",None,San Diego,CA,92121,(858) 678-7050,32.8875768,-117.2225064,http://www.scripps.org/diabetes,Full,Public ,In-Person
Sharp Community Medical Group,8695 Spectrum Center Blvd.,None,San Diego,CA,92064,(858) 499-3040,32.8256002,-117.14035430000001,Unavailable,Pending,Members Other ,In-Person
Sharp Community Medical Group,8695 Spectrum Center Blvd.,None,San Diego,CA,92123,(858) 499-3040,32.8256002,-117.14035430000001,Unavailable,Pending,Members ,OnLine
