Name,Address Line 1,Address Line 2,City,State,Zip,Phone,Web Address,Recognition Status,Class open To,Delivery Mode
Arkansas Coalition of Marshallese,614 E Emma Ave. Suite 113,,Springdale ,AR,72764,(479) 365-6625,,Full,Public Other ,In-Person
"East Arkansas Family Health Center, Inc",900 North 7th St.,,West Memphis,AR,72301,(870) 735-3842  Ext: 6382 ,,Pending,Public Employees ,In-Person
Healthy Lifestyle Partnership,15451 Jones Branch Rd.,,Winslow ,AR,72959,(479) 200-1908,,Full,Public Employees Members Other ,In-Person
Chinle Comprehensive Health Care Facility,HWY 191 AND HOSPITAL Dr.,,Chinle ,AZ,86503,(928) 674-7529,,Preliminary,Public Employees Other ,In-Person
"Uhling Consulting, LLC",20325 N 51st Ave.,Suite 166,Glendale ,AZ,85308,(602) 341-5248,,Preliminary,Public Employees Members ,In-Person
Integrated Wellness Club,1968 mesquite Ave.,,Lake Havasu City,AZ,86403,(480) 703-4227,,Pending,Public Employees Members Other ,In-Person
Mariposa Community Health Center,1852 N mastick Way,,Nogales ,AZ,85621,(520) 281-1550,,Preliminary,Public ,In-Person
Hualapai Health Education and Wellness- EW4H,926 Hualapai Way,P.O. Box 179,Peach Springs,AZ,86434-0179,(928) 769-1630,,Pending,Public Employees Other ,In-Person
Adelante Healthcare,3033 N Central Ave.,Suite 145,Phoenix ,AZ,85012,(877) 809-5092,,Pending,Public Employees ,Combination
Arizona F.A.C.T.S.  of Life,1122 East Buckeye Rd. Suite A4,,Phoenix ,AZ,85034,(602) 254-2704,,Preliminary,Public ,In-Person
Phoenix Indian Medical Center - Diabetes Prevention Program,4212 North 16 St.,,Phoenix ,AZ,85016,(602) 263-1200  Ext: 1502 ,,Full,Members Other ,In-Person
St. Vincent de Paul Family Wellness Program,420 W. Watkins Rd.,,Phoenix ,AZ,85002-3600,(602) 850-6740,http://stvincentdepaul.net,Preliminary,Public ,In-Person
UNLIMITED POTENTIAL,3146 E. WIER Ave.,,Phoenix ,AZ,85040,(602) 305-4742,,Pending,Public Employees Members ,In-Person
Sun Health Center for Health & Wellbeing,14710 W Grand Ave.,,Surprise ,AZ,85374,(623) 471-9335,,Pending,Public Employees Members Other ,Combination
Sun Health Center for Health & Wellbeing,14719 W Grand Ave.,,Surprise ,AZ,85374,(623) 471-9355,,Pending,Public Employees Members ,OnLine
Sun Health Center for Health & Wellbeing,14719 W Grand Ave.,,Surprise ,AZ,85374,(623) 471-9355,,Pending,Public Employees Members ,Distance Learning
Sun Health Center for Health & Wellbeing,14719 W Grand Ave.,,Surprise ,AZ,85374,(623) 471-9355,http://sunhealthwellbeing.org/diabetes-prevention/,Full,Public ,In-Person
Banner - University Medical Center South,"3950 S. Country Club Rd., Suite 140",,Tucson ,AZ,85714,(520) 874-6077,,Full,Public ,In-Person
SinfoniaRx,"100 N Stone Ave., Ste 109",,Tucson ,AZ,85701,(844) 326-3043,https://sinfoniarx.com/preventdiabetes,Pending,Public Employees ,Combination
Tucson Medical Center Pre-Diabetes Program,5301 East Grant Rd.,,Tucson ,AZ,85712,(520) 324-3526,,Full,Public ,In-Person
University of Arizona Cooperative Extension,1140 E South Campus Dr. PO Box 210036,,Tucson ,AZ,85721-0036,(520) 621-1584,https://extension.arizona.edu/national-diabetes-prevention-program,Full,Public ,In-Person
University of Arizona Cooperative Extension,1140 E South Campus Dr.,,Tucson ,AZ,85721-0036,(520) 621-1584,http://www.preventdiabetesAZ.org,Pending,Public ,Distance Learning
Yuma County Public Health Services District,2200 W. 28th St.,,Yuma ,AZ,85364,(928) 317-4580,,Pending,Public Employees Other ,In-Person
Chapa-De Indian Health,11670 Atwood Rd.,,Auburn ,CA,95603,(530) 889-3765,,Preliminary,Members ,In-Person
Dignity Health Medical Group,"3838 San Dimas St., Bldg A St.e 200",,Bakersfield ,CA,93301,(661) 654-0200,,Pending,Public Employees Members ,In-Person
Kern Health Systems,9700 Stockdale Hwy.,,Bakersfield ,CA,93311-3617,(800) 391-2000,,Pending,Members ,In-Person
Memorial Hospital Diabetes Clinic,420 34th St.,,Bakersfield ,CA,93301,(661) 327-4647  Ext: 4326 ,,Pending,Public Employees ,In-Person
Omni Family Health,"4900 California Ave., Suite 400B",,Bakersfield ,CA,93309,(661) 459-1900  Ext: 1958 ,,Pending,Public ,In-Person
University of California - Berkeley,University Health Services,2222 Bancroft Way,Berkeley ,CA,94720-4300,(510) 643-4646,,Pending,Employees ,In-Person
YMCA of the East Bay,2111 Martin Luther King Jr. Way,,Berkeley ,CA,94704,(925) 687-8900,http://ymca-cba.org/,Preliminary,Public ,In-Person
E.V.A. Health,457 S. Citrus Ave.,,Covina ,CA,91723,(866) 382-4325,,Pending,Public ,In-Person
"UC Davis Staff, Faculty Health, and Well-Being Pgm","One Shields Ave., Cowell Hall",,Davis ,CA,95616,(530) 752-6800,,Preliminary,Employees ,In-Person
Central Health Plan of California,1540 Bridgegate Dr.,,Diamond Bar,CA,91765,(626) 388-2390  Ext: 3828 ,,Preliminary,Members ,In-Person
City of Hope MetFit,1500 E. Duarte Rd.,,Duarte ,CA,91010,(626) 218-0440  Ext: 2 ,,Pending,Public Employees Members ,In-Person
Sharp Rees-Stealy Center for Health Management,1380 El Cajon Blvd.,Suite 100,El Cajon,CA,92020,(619) 590-3300,http://www.sharp.com/wellness,Full,Members ,In-Person
El Centro Regional Medical Center,1415 Ross Ave.,,El Centro,CA,92243,(760) 482-5000,,Preliminary,Public Other ,In-Person
Kaiser Permanente - South Sacramento Medical Center,9201 Big Horn Blvd.,,Elk Grove,CA,95758,(916) 478-5145,,Full,Members ,In-Person
Fountain Valley Regional Hospital & Medical Center,11250 Warner Ave.,,Fountain Valley,CA,92708,(714) 966-8145,,Pending,Public Employees ,In-Person
California Health Collaborative,1680 W Shaw Ave.,,Fresno ,CA,93711,(559) 244-4512,http://www.healthcollaborative.org,Preliminary,Public ,In-Person
Braden Diabetes Center,"1100 South Eliseo, Suite 2",,Greenbrae ,CA,94904,(415) 925-7370,,Full,Public ,In-Person
UC San Diego Health,9500 Gilman Dr.,MC 0853,La Jolla,CA,92093-0853,(858) 246-5569  Ext: 65569 ,,Pending,Public Employees Members ,In-Person
"University of California, San Diego","10280 N. Torrey Pines Rd., Suite 265A",,La Jolla,CA,92093-0922,(858) 534-7831,,Pending,Employees ,In-Person
Lake County Tribal Health Consortium,"925 Bevins Ct.,",,Lakeport ,CA,95453,(707) 263-8382  Ext: 1601 ,http://www.lcthc.com/,Full,Public Members ,In-Person
Livingston Community Health Center,1140 Main St.,,Livingston ,CA,95334,(209) 394-7913  Ext: 1384 ,,Preliminary,Public ,In-Person
Loma Linda University Health Diabetes Treatment Center,"11285 mountain View Ave., Suite 40",,Loma Linda,CA,92354,(909) 558-3022,,Full,Members ,In-Person
AltaMed Health Services,2040 Camfield Ave.,,Los Angeles,CA,90040,(877) 462-2582,http://www.altamed.org/,Full,Public ,In-Person
B.A. Head Together,3816 Virginia Rd.,,Los Angeles,CA,90008,(323) 833-2197,,Full,Public ,In-Person
Black Women for Wellness,"4340 11th Ave., 2nd Floor",,Los Angeles,CA,90008,(323) 290-5955,http://www.bwwla.org,Full,Other ,In-Person
Canary Health,1539 Sawtelle Blvd. Suite 10,,Los Angeles,CA,90025,(310) 444-0636  Ext: 111 ,http://www.canaryhealth.com,Full,Employees Members Other ,OnLine
Diabetes Prevention Education by Food Prescription,5042 Wilshire Blvd. #40811,,Los Angeles,CA,90036,(240) 776-2352,,Pending,Public Employees Members Other ,OnLine
"inHealth Medical Services, Inc.",1801 Century Park East,24th Floor,Los Angeles,CA,90067,(888) 219-5299,,Full,Public ,Distance Learning
KLOUD CLINICAL,5043 WHITTIER Blvd.,,Los Angeles,CA,90022-3116,(323) 526-8972,,Pending,Other ,In-Person
MOOR OUT OF LIFE,"600 W Manchester Ave., #4",,Los Angeles,CA,90044,(323) 657-0003,,Pending,Public ,In-Person
"New Familia Health Support Services, LLC","2716 North Broadway, Suite 203",,Los Angeles,CA,90031,(323) 917-1700  Ext: 1 ,,Pending,Public Other ,In-Person
"Real Appeal, Inc.",10866 Wilshire Blvd.,Suite 400,Los Angeles,CA,90024,(844) 344-7325,https://realappeal.com/effect/member,Full,Members ,Distance Learning
Seeds of Hope,840 Echo Park Ave.,,Los Angeles,CA,90026,(213) 482-2040,,Pending,Public ,In-Person
To Help Everyone Health and Wellness Center,3834 S. Western Ave.,,Los Angeles,CA,90062,(323) 730-1920  Ext: 3062 ,,Pending,Public ,In-Person
UCLA Campus-Wide DPP,2131 John Wooden Center,,Los Angeles,CA,90095-1612,(310) 794-7765,,Full,Other ,In-Person
UCLA Housing & Hospitality Services,360 De Neve Dr.,Sproul Hall Suite 182,Los Angeles,CA,90095,(310) 825-1016,,Preliminary,Employees ,In-Person
Watts Healthcare Corporation,10300 Compton Blvd.,,Los Angeles,CA,90002,(323) 564-4331  Ext: 3404 ,,Pending,Public Members ,In-Person
Madera County Department of Public Health,14215 Rd. 28,,Madera ,CA,93638,(559) 675-7893,,Preliminary,Employees ,In-Person
Shasta Cascade Health Centers,116 Minnesota Ave.,,Mcloud ,CA,96057,(530) 964-2389,,Pending,Public ,In-Person
First Mile Care,3000 Sand Hill Rd.,"Building 3, Suite 240",Menlo Park,CA,94025,(650) 546-7145,,Preliminary,Public ,In-Person
Merced County Department of Public Health,260 East 15th St.,,Merced ,CA,95341,(209) 381-1042,,Pending,Employees ,In-Person
UC Merced,5200 N Lake,,Merced ,CA,95343,(209) 201-9457,,Pending,Employees ,In-Person
Yes Health Inc.,"35 Miller Ave., Suite #273",,Mill Valley,CA,94941,(415) 302-3651,http://www.yeshealth.com,Full,Public Employees Members ,OnLine
Tanner Care,825 S Myrtle Ave.,,Monrovia ,CA,91016,(626) 471-9710,,Full,Public ,In-Person
Community Health Innovations,"10 Ragsdale Dr., Suite 200",,Monterey ,CA,93940,(831) 644-7490,,Preliminary,Public Members ,In-Person
Monterey Bay Center for Integrated Health,"1340 Munras Ave., Suite 210",,Monterey ,CA,93940,(831) 324-0416,,Pending,Public ,In-Person
Family Service Association,"21250 Box Springs Rd., Suite 212",,Moreno Valley,CA,92557,(951) 686-1096,,Full,Members ,In-Person
Quinn Community Outreach Corporation,25400 ALESSANDRO Blvd.,STE 101,Moreno Valley,CA,92553-4319,(951) 570-0043,,Pending,Public Employees ,In-Person
Digbi Health,800 El Camino Real West Suite 180,,Mountain View,CA,94040,(650) 823-6797,https://digbihealth.com/products/preventt2,Pending,Public Employees Members Other ,Distance Learning
El Camino Health South Asian Heart Center,2480 Grant Rd.,"El Camino Health, Willow Pavilion, Suite 206",Mountain View,CA,94040,(650) 940-7242,https://southasianheartcenter.org/stop-d,Pending,Public Employees Other ,Combination
Lark,2570 W El Camino Real,#100,Mountain View,CA,94040,(855) 500-5275,http://www.lark.com,Full,Public ,OnLine
El Camino Health South Asian Heart Center,"Willow Pavilion, Suite 206",2480 Grant Rd.,"Mountain View,",CA,94040,(650) 940-7242,https://southasianheartcenter.org/program/register,Pending,Public Employees Other ,Distance Learning
"OPERATION SAMAHAN, INC.",1428 Highland Ave.,,National City,CA,91950-7403,(844) 200-2426,,Full,Members ,In-Person
Mary and Dick Allen Diabetes Center,520 Superior Ave. Suite 150,,Newport Beach,CA,92663,(949) 764-8065,,Full,Public ,Combination
"Mission City Community Network, Inc.",8527 Sepulveda Blvd.,,North Hills,CA,91343-5305,(818) 895-3100,,Pending,Public Employees Members ,In-Person
Providence Health and Services San Fernando Valley,6801 Coldwater Canyon Ave.,Suite 1A,North Hollywood,CA,91605-5163,(818) 493-6944,,Preliminary,Public ,In-Person
Marilyn Magaram Center,18111 Nordhoff St.,,Northridge ,CA,91330-8308,(818) 677-3102,http://www.csun.edu/marilyn-magaram-center/prevent-type-2-diabetes-preventt2-program,Pending,Public ,In-Person
Northridge Hospital Medical Center,18300 Roscoe Blvd.,,Northridge ,CA,91325,(818) 718-5951,,Pending,Public Members ,In-Person
Vision of Health,"17130 Devonshire St., St.e. 104-A",,Northridge ,CA,91325,(747) 300-2191,http://avisionofhealth.org/newleaf.htm,Pending,Public Employees Members ,Distance Learning
Vision of Health,"17130 Devonshire St, Ste. 104-A","Northridge, CA 91325",Northridge,CA,91325,(818) 723-6111,http://www.avisionofhealth.org,Full,Public ,In-Person
"US Naval Hospital, Okinawa Japan",US Naval Hospital,Camp Foster,"Okinawa, Japan",CA,96362,(098) 971-7555,http://www.med.navy.mil/sites/nhoki/Pages/default.aspx,Full,Employees ,In-Person
Aktiva Nutrition & Prevention Hub,427 N Euclid Ave.,,Ontario ,CA,91762-3427,(909) 295-2019,,Pending,Public Other ,In-Person
UC Irvine Health,101 The City Dr.,"Bldg 22A, 3rd Fl, Rm 3104, Rt 162",Orange ,CA,92868,(714) 456-8781,,Pending,Employees ,In-Person
Ventura County Public Health,2220 E. Gonzales Rd.,Suite 202,Oxnard ,CA,93036,(805) 981-6657,,Pending,Public Employees Members ,In-Person
Stanford Healthcare,211 Quarry Rd.,"Suite 4014, MC 5984",Palo Alto,CA,94304,(650) 724-1375,,Pending,Employees Members ,Combination
Pre-Diabetes Professional Training Center,14500 Roscoe Blvd.,4th Floor,Panorama City,CA,91402,(844) 786-7362,http://pdptcenter.org,Full,Public ,In-Person
Kaiser Permanente Southern California,74 N Pasadena Ave.,"Parsons West, Center for Healthy Living",Pasadena ,CA,91103,(626) 381-7000,,Full,Public ,Combination
Inter Valley Health Plan,300 S. Park Ave.,,Pomona ,CA,91766,(909) 623-6333,http://www.ivhp.com,Full,Members ,In-Person
Eisenhower Health,39000 Bob Hope Dr. Probst 100-B,,Rancho Mirage,CA,92270,(760) 773-1403  Ext: 1403 ,,Full,Public ,In-Person
Shasta County YMCA,1155 N. Ct. St.,,Redding ,CA,96001,(530) 246-9622,http://www.sfymca.org/programs-events/programs/diabetes-prevention-program,Pending,Public Employees Members ,In-Person
Loma Linda Veterans' Affairs Medical Center,26001 Redlands Blvd.,,Redlands ,CA,92373,(909) 825-7084  Ext: 1869 ,,Preliminary,Other ,In-Person
Inspiring Communities,3220 Blume Dr,Suite 154,Richmond ,CA,94806,(510) 439-6844,,Full,Public ,In-Person
Inspiring Communities,3220 Blume Dr. Suite 154,,Richmond ,CA,94806,(510) 439-6844,,Pending,Public Employees ,OnLine
Riverside Community Health Foundation,4275 Lemon St.,,Riverside ,CA,92501,(951) 788-3471,,Full,Public ,In-Person
University of California Riverside,900 University Ave.,Wellness Programs - University Village Ste. 208,Riverside ,CA,92521,(951) 827-1488,,Preliminary,Employees ,In-Person
Clinica de Salud del Valle de Salinas,440 Airport Blvd.,,Salinas ,CA,93905,(831) 757-8689,,Preliminary,Public ,In-Person
The Central Coast Young Men's Christian Association,500 Lincoln Ave.,,Salinas ,CA,93901,(831) 757-4633  Ext: 17 ,http://www.centralcoastymca.org/programs/diabetes-prevention-program/,Full,Public ,In-Person
Blessing Community Health Center,3972 N Waterman Ave.,Suite 104,San Bernardino,CA,92404,(909) 433-9700,,Pending,Public ,In-Person
WJ MEDICAL SERVICES INC,103 EAST HIGHLAND Ave.,,San Bernardino,CA,92404,(909) 677-2965  Ext: 304 ,,Pending,Public Employees Members ,Combination
ADVANCED HOMECARE,4320 View Ridge,STE C,San Diego,CA,92130,(800) 758-7571,,Pending,Public Employees ,In-Person
Family Health Centers of San Diego,1809 National Ave.,,San Diego,CA,92113,(619) 515-2526,,Pending,Public ,In-Person
Multicultural Health Foundation,292 Euclid Ave.,Suite 210,San Diego,CA,92114,(619) 266-3665,,Full,Public Employees Members Other ,In-Person
"San Diego Family Care, Linda Vista Health Care Center",6973 Linda Vista Rd.,,San Diego,CA,92111,(858) 279-0925  Ext: 2975 ,,Full,Public Other ,In-Person
Scripps Diabetes Care and Prevention,"10140  Campus Point Dr., Suite 200",,San Diego,CA,92121,(858) 678-7050,http://www.scripps.org/diabetes,Full,Public ,In-Person
Sharp Community Medical Group,8695 Spectrum Center Blvd.,,San Diego,CA,92064,(858) 499-3040,,Pending,Members Other ,In-Person
Sharp Community Medical Group,8695 Spectrum Center Blvd.,,San Diego,CA,92123,(858) 499-3040,,Pending,Members ,OnLine
Skinny Gene Project,10620 Treena St.,Ste 230,San Diego,CA,92131,(619) 793-2010,,Pending,Public ,Combination
Skinny Gene Project,10620 Treena St. Ste 230,,San Diego,CA,92131,(619) 793-2010,http://www.skinnygeneproject.org,Full,Public ,In-Person
Northeast Valley Health Corporation,1172 N. Maclay Ave.,,San Fernando,CA,91340,(818) 270-9508,,Full,Public ,In-Person
San Fernando Community Health Center,"732 Mott St., Suite 100",,San Fernando,CA,91340-4240,(818) 963-5690  Ext: 126 ,,Pending,Public Other ,In-Person
"Visiting Nurses Community Services, Inc.",732 Mott St.,Suite 150,San Fernando,CA,91340,(818) 837-3775  Ext: 183 ,,Pending,Public ,Combination
Chinese Hospital Association,845 Jackson St.,,San Francisco,CA,94133,(415) 677-2475,http://www.chinesehospital-sf.org/,Preliminary,Other ,In-Person
Melon Health,1355 Market St.,Suite 488,San Francisco,CA,94103,(720) 642-0459,https://www.melonhealth.com/dpp/,Preliminary,Public Employees Members Other ,OnLine
Omada Health,"500 Sansome St., Suite 200",,San Francisco,CA,94111-2323,(888) 987-8337,http://www.omadahealth.com,Full,Public ,OnLine
PlateJoy,290 Division St.,Suite 304,San Francisco,CA,94103,(628) 400-2665,,Preliminary,Public ,OnLine
"University of California, San Francisco",1675 Owens St.,,San Francisco,CA,94143,(415) 502-3357,,Pending,Employees ,In-Person
Vida Health,"100 Montgomery St., Suite 750",,San Francisco,CA,94104,(855) 442-5885,,Full,Public Employees Members ,OnLine
Young Men's Christian Association (YMCA) of San Francisco,"50 California St., Suite 650",,San Francisco,CA,94111,(415) 777-9622,http://www.ymcasf.org/diabetesprevention,Full,Public ,In-Person
San Ysidro Health Center,1275 30th St.,,San Isidro,CA,92173,(619) 662-4100,http://www.syhc.org,Preliminary,Other ,In-Person
Gardner Family Health Network,Downtown Resource Center,777 E. Santa Clara St.. St.e. 2004,San Jose,CA,95112,(669) 444-5476,,Preliminary,Public ,In-Person
Indian Health Center of Santa Clara Valley,602 E. Santa Clara St. #130,,San Jose,CA,95112,(408) 445-3400  Ext: 3590 ,,Preliminary,Members ,In-Person
Association of Asian Pacific Community Health Org,"101 Callan Ave., Suite 400",,San Leandro,CA,94577,(510) 272-9536,,Full,Public Employees Members Other ,Distance Learning
Enara Health,1650 S AMPHLETT Blvd.,SUITE 115,San Mateo,CA,94402,(650) 319-8654,,Pending,Employees Members ,OnLine
Enara Health,1650 S Amphlett Blvd. #115,1650 S Amphlett Blvd. #115,San Mateo,CA,94402,(650) 319-8654,,Pending,Public ,In-Person
Enara Health,"1650 South Amphlett Blvd., #115",,San Mateo,CA,94402,(650) 319-8654,https://www.enarahealth.com/dpp/,Pending,Public ,Distance Learning
Wellness Within,2723 Crow Canyon Rd.,Ste 214,San Ramon,CA,94583,(925) 886-5182,,Pending,Public Other ,In-Person
Sansum Diabetes Research Institute,2219 Bath St.,,Santa Barbara,CA,93105,(805) 682-7640,,Preliminary,Public Other ,In-Person
"University of California, Santa Barbara",Recreation Center,,Santa Barbara,CA,93106-3025,(805) 893-5226,,Full,Employees ,In-Person
Young Men's Christian Association of Silicon Valley,80 Saratoga Ave.,,Santa Clara,CA,95051,(408) 351-6400,http://www.ymcasv.org,Full,Public ,In-Person
University of California Santa Cruz,1156 High St.,"H Barn, Risk Services",Santa Cruz,CA,95064,(831) 502-7375,,Pending,Employees ,In-Person
"Community Health Centers of the Central Coast, Inc.",2050 S. Blosser Rd.,,Santa Maria,CA,93458,(805) 346-3900  Ext: 3948 ,,Pending,Other ,In-Person
Santa Monica Family YMCA,1332 6th St.,,Santa Monica,CA,90401,(310) 393-2721,,Preliminary,Public Employees Members ,In-Person
UCLA Gonda Diabetes Center Santa Monica,2020 Santa Monica blvd,Suite 550,Santa Monica,CA,90404,(310) 794-1299,,Full,Employees Other ,Combination
Adventist Health - Sonora,1000 Greenley Rd.,,Sonora ,CA,95370,(209) 536-3720,,Full,Public ,In-Person
"Community Medical Centers, Inc.",7210 Murray Dr.,,Stockton ,CA,95210,(209) 373-2857,http://www.communitymedicalcenters.org,Pending,Public ,In-Person
United Medical Fitness,31170 Temecula Pkwy,Suite 102,Temecula,CA,92592,(951) 219-8029,,Pending,Public ,In-Person
Torrance Memorial Diabetes Prevention Program,"2841 Lomita Blvd., Suite 335",,Torrance ,CA,90505-9942,(310) 891-6707,,Full,Employees ,In-Person
Tahoe Forest Hospital,"10956 Donner PAss Rd., Suite 240",,Truckee ,CA,96160,(530) 550-6730,http://tfhd.com,Preliminary,Public ,In-Person
Henry Mayo Newhall Hospital - Henry Mayo Fitness and Health,24525 Town Center Dr.,,Valencia ,CA,91354,(661) 200-2300  Ext: 33021 ,,Full,Public ,In-Person
"Samuel Dixon Family Health Center, Inc.","25115 W Ave. Standford, Suite A-104",,Valencia ,CA,91355,(661) 402-2319,,Pending,Public ,In-Person
Touro University-Solano County Public Health,1310 Club Dr.,,Vallejo ,CA,94592,(707) 638-5970,,Full,Public ,In-Person
"Indian Health Council, Inc.",50100 Golsh Rd.,,Valley Center,CA,92082-5338,(760) 749-1410,,Preliminary,Other ,In-Person
Tulare County Public Health Department,5957 South Mooney Blvd. 231q,,Visalia ,CA,93277,(559) 624-8481,http://www.tchhsa.org,Preliminary,Public ,In-Person
Diabetes Care Partners,1339 W. Garvey Ave. N,,West Covina,CA,91790,(877) 227-3889,,Pending,Public ,In-Person
Diabetes Care Partners,1339 W Garvey Ave. N,,West Covina,CA,91790,(877) 227-3889,,Pending,Public Employees Members ,Combination
Providence Little Company of Mary,470 N. Hawaiian Ave.,,Wilmington ,CA,90744,(424) 212-5640,,Pending,Public ,In-Person
